child,parent,exchange_id,n_total_fnn,n_measured_fnn,n_class_2or3,p_class_2or3,section_speed_threshold_average,log_p_value,cni_present,n_unique_cni,cni_ids,cni_re_report_counts,cni_toms_initiation_ts,truck_roll_count_3m,truck_roll_count_6m,truck_roll_count_12m,truck_roll_count_24m,nbn_rfs_3m_count,nbn_rfs_6m_count,nbn_rfs_12m_count,nbn_rfs_24m_count,nbn_rfs_more_than_24m_count,nbn_rfs_already_passed_count,ccp_flag
Cable:16136896;16137714;28015025,Pillar:P2,PEIN,53,31,6,0.3114943,1.1505805,-0.0404277,0,0,[],[],[],3,4,8,12,27,0,0,0,0,1,b
Cable:16136897;16137361,Pillar:P2,PEIN,51,31,9,0.3114943,1.0528452,-0.2507709,0,0,[],[],[],4,7,13,16,31,0,0,0,0,0,b
Cable:16136897;16137361,Cable:16136890,PEIN,51,31,9,0.3114943,1.0528452,-0.2507709,0,0,[],[],[],4,7,13,16,31,0,0,0,0,0,b
Cable:16136898,Cable:16136889,PEIN,64,43,20,0.3114943,1.0682111,-1.8062302,0,0,[],[],[],5,8,21,27,34,0,0,0,0,0,b
Cable:16136898,Pillar:P2,PEIN,64,43,20,0.3114943,1.0682111,-1.8062302,0,0,[],[],[],5,8,21,27,34,0,0,0,0,0,b
Cable:16136899;16136949,Cable:16136898,PEIN,7,5,2,0.3114943,0.9908254,-0.5571124,0,0,[],[],[],1,1,3,4,3,0,0,0,0,0,b
Cable:16136900;16136901,Cable:16137288,PEIN,5,3,1,0.3114943,0.937749,-0.4334155,0,0,[],[],[],1,1,3,4,2,0,0,0,0,0,b
Cable:16136902;16140246,Cable:26274041,PEIN,1,1,1,0.3114943,0.2300641,-1.0130999,0,0,[],[],[],0,0,0,1,0,0,0,0,0,0,b
Cable:16136903;16140247,Cable:26274041,PEIN,1,1,0,0.3114943,1.2727682,-0.2790474,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136905;16136906;16140198,Cable:16136898,PEIN,1,1,1,0.3114943,0.974105,-1.0130999,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16136908,Cable:16137471,PEIN,2,2,2,0.3114943,0.1781669,-1.5196499,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
Cable:16136909,Cable:16136891,PEIN,29,22,11,0.3114943,0.8736099,-1.5404615,0,0,[],[],[],0,3,7,11,20,0,0,0,0,0,b
